CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
3360050,1.8288,12,30000.0,30000.516772,38676.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,80.7442587474,1.28919445735,6.04905129685
3360050,2.1336,12,30000.0,30000.516772,47820.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,99.8340291023,1.59398920703,8.61586420386
3360050,2.4384,12,30000.0,30000.516772,56964.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,118.923799457,1.89878395672,11.5331818707
3360050,2.7432,12,30000.0,30000.516772,66108.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,138.013569812,2.20357870641,14.7810117773
3360050,3.048,12,30000.0,30000.516772,75252.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,157.103340167,2.50837345609,18.3432750663
3360050,3.3528,48,120000.0,120000.64224,98398.506735,1e-05,0.479,0.0135,0.05,250.521920668,250.523261461,205.424857484,0.819983167575,11.3820270902
3360050,3.6576,57,142500.0,142500.942051,138290.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,288.706694605,0.970453280698,17.8979492331
3360050,3.9624,57,142500.0,142500.942051,181724.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,379.383103791,1.27525126571,28.2166308467
3360050,4.2672,57,142500.0,142500.942051,225158.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,470.059512977,1.58004925073,40.3301581273
3360050,4.572,57,142500.0,142500.942051,268592.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,560.735922163,1.88484723575,54.1135234427
3360050,4.8768,57,142500.0,142500.942051,312026.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,651.412331349,2.18964522076,69.4707211205
3360050,5.1816,57,142500.0,142500.942051,355460.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,742.088740534,2.49444320578,86.3246682598
3360050,5.4864,57,142500.0,142500.942051,398894.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,832.76514972,2.79924119079,104.611497238
3360050,5.7912,57,142500.0,142500.942051,442328.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,923.441558906,3.10403917581,124.277032338
3360050,6.096,57,142500.0,142500.942051,485762.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1014.11796809,3.40883716082,145.274473557
3360050,6.4008,57,142500.0,142500.942051,529196.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1104.79437728,3.71363514584,167.562799075
3360050,6.7056,57,142500.0,142500.942051,572630.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1195.47078646,4.01843313086,191.105620775
3360050,7.0104,57,142500.0,142500.942051,616064.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1286.14719565,4.32323111587,215.870338669
3360050,7.3152,57,142500.0,142500.942051,659498.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1376.82360484,4.62802910089,241.827500001
3360050,7.62,57,142500.0,142500.942051,702932.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1467.50001402,4.9328270859,268.950302932
3360050,7.9248,57,142500.0,142500.942051,746366.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1558.17642321,5.23762507092,297.21420505
3360050,8.2296,57,142500.0,142500.942051,789800.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1648.85283239,5.54242305594,326.596609616
3360050,8.5344,57,142500.0,142500.942051,833234.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1739.52924158,5.84722104095,357.076610603
3360050,8.8392,57,142500.0,142500.942051,876668.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1830.20565076,6.15201902597,388.634782945
3360050,9.144,57,142500.0,142500.942051,920102.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,1920.88205995,6.45681701098,421.253008112
3360050,9.4488,57,142500.0,142500.942051,963536.506716,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2011.55846914,6.761614996,454.914327632
3360050,9.7536,57,142500.0,142500.942051,1006970.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2102.23487832,7.06641298101,489.602819011
3360050,10.0584,57,142500.0,142500.942051,1050404.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2192.91128751,7.37121096603,525.303489785
3360050,10.3632,57,142500.0,142500.942051,1093838.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2283.58769669,7.67600895105,562.002186412
3360050,10.668,57,142500.0,142500.942051,1137272.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2374.26410588,7.98080693606,599.6855154
3360050,10.9728,57,142500.0,142500.942051,1180706.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2464.94051506,8.28560492108,638.340774622
3360050,11.2776,57,142500.0,142500.942051,1224140.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2555.61692425,8.59040290609,677.955893178
3360050,11.5824,57,142500.0,142500.942051,1267574.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2646.29333344,8.89520089111,718.519378447
3360050,11.8872,57,142500.0,142500.942051,1311008.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2736.96974262,9.19999887613,760.020269284
3360050,12.192,57,142500.0,142500.942051,1354442.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2827.64615181,9.50479686114,802.448094436
3360050,12.4968,57,142500.0,142500.942051,1397876.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,2918.32256099,9.80959484616,845.792835459
3360050,12.8016,57,142500.0,142500.942051,1441310.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3008.99897018,10.1143928312,890.044893521
3360050,13.1064,57,142500.0,142500.942051,1484744.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3099.67537937,10.4191908162,935.195059579
3360050,13.4112,57,142500.0,142500.942051,1528178.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3190.35178855,10.7239888012,981.234487489
3360050,13.716,57,142500.0,142500.942051,1571612.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3281.02819774,11.0287867862,1028.15466969
3360050,14.0208,57,142500.0,142500.942051,1615046.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3371.70460692,11.3335847712,1075.94741518
3360050,14.3256,57,142500.0,142500.942051,1658480.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3462.38101611,11.6383827563,1124.60482941
3360050,14.6304,57,142500.0,142500.942051,1701914.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3553.05742529,11.9431807413,1174.11929605
3360050,14.9352,57,142500.0,142500.942051,1745348.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3643.73383448,12.2479787263,1224.48346024
3360050,15.24,57,142500.0,142500.942051,1788782.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3734.41024367,12.5527767113,1275.6902133
3360050,15.5448,57,142500.0,142500.942051,1832216.50672,1e-05,0.479,0.0135,0.05,297.494780793,297.496747497,3825.08665285,12.8575746963,1327.73267861
